จังหวัด,เขต,อำเภอ,ตำบล,flag,optional
ตราด,1,,,,
ระนอง,1,,,,
สมุทรสงคราม,1,,,,
สิงห์บุรี,1,,,,
ชัยนาท,1,เมืองชัยนาท,,,
ชัยนาท,1,สรรพยา,,,
ชัยนาท,1,มโนรมย์,,,
ชัยนาท,1,วัดสิงห์,มะขามเฒ่า,เฉพาะ,
ชัยนาท,1,วัดสิงห์,หนองน้อย,เฉพาะ,
ชัยนาท,1,วัดสิงห์,หนองบัว,เฉพาะ,
ชัยนาท,1,วัดสิงห์,เทศบาลตำบลวัดสิงห์,เฉพาะ,
ชัยนาท,1,วัดสิงห์,หนองขุ่น,เฉพาะ,
ชัยนาท,2,สรรคบุรี,,,
ชัยนาท,2,หันคา,,,
ชัยนาท,2,เนินขาม,,,
ชัยนาท,2,หนองมะโมง,,,
ชัยนาท,2,วัดสิงห์,มะขามเฒ่า,ยกเว้น,
ชัยนาท,2,วัดสิงห์,หนองน้อย,ยกเว้น,
ชัยนาท,2,วัดสิงห์,หนองบัว,ยกเว้น,
ชัยนาท,2,วัดสิงห์,เทศบาลตำบลวัดสิงห์,ยกเว้น,
ชัยนาท,2,วัดสิงห์,หนองขุ่น,ยกเว้น,
นครนายก,1,เมืองนครนายก,,,
นครนายก,1,ปากพลี,,,
นครนายก,2,บ้านนา,,,
นครนายก,2,องครักษ์,,,
พังงา,1,เมืองพังงา,,,
พังงา,1,ตะกั่วทุ่ง,,,
พังงา,1,เกาะยาว,,,
พังงา,1,ทับปุด,,,
พังงา,2,กะปง,,,
พังงา,2,ตะกั่วป่า,,,
พังงา,2,คุระบุรี,,,
พังงา,2,ท้ายเหมือง,,,
มุกดาหาร,1,เมืองมุกดาหาร,มุกดาหาร,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,ศรีบุญเรือง,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,คำอาฮวน,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,ดงเย็น,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,บางทรายใหญ่,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,บ้านโคก,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,คำป่าหลาย,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,กุดแข้,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,นาสีนวน,เฉพาะ,
มุกดาหาร,1,เมืองมุกดาหาร,โพนทราย,เฉพาะ,
มุกดาหาร,1,ดอนตาล,,,
มุกดาหาร,1,หว้านใหญ่,,,
มุกดาหาร,2,เมืองมุกดาหาร,ผึ่งแดด,เฉพาะ,
มุกดาหาร,2,เมืองมุกดาหาร,ดงมอน,เฉพาะ,
มุกดาหาร,2,เมืองมุกดาหาร,นาโสก,เฉพาะ,
มุกดาหาร,2,คำชะอี,,,
มุกดาหาร,2,นิคมคำสร้อย,,,
มุกดาหาร,2,ดงหลวง,,,
มุกดาหาร,2,หนองสูง,,,
แม่ฮ่องสอน,1,เมืองแม่ฮ่องสอน,,,
แม่ฮ่องสอน,1,ขุนยวม,,,
แม่ฮ่องสอน,1,ปาย,,,
แม่ฮ่องสอน,1,ปางมะผ้า,,,
แม่ฮ่องสอน,2,แม่สะเรียง,,,
แม่ฮ่องสอน,2,แม่ลาน้อย,,,
แม่ฮ่องสอน,2,สบเมย,,,
ลำพูน,1,เมืองลำพูน,,,
ลำพูน,1,แม่ทา,,,
ลำพูน,1,บ้านธิ,,,
ลำพูน,2,เวียงหนองล่อง,,,
ลำพูน,2,บ้านโฮ่ง,,,
ลำพูน,2,ทุ่งหัวช้าง,,,
ลำพูน,2,ลี้,,,
ลำพูน,2,ป่าซาง,,,
สตูล,1,เมืองสตูล,,,
สตูล,1,ควนโดน,,,
สตูล,1,ควนกาหลง,ทุ่งนุ้ย,เฉพาะ,
สตูล,2,ละงู,,,
สตูล,2,ท่าแพ,,,
สตูล,2,ทุ่งหว้า,,,
สตูล,2,มะนัง,,,
สตูล,2,ควนกาหลง,ทุ่งนุ้ย,ยกเว้น,
อ่างทอง,1,เมืองอ่างทอง,,,
อ่างทอง,1,ป่าโมก,,,
อ่างทอง,1,วิเศษชัยชาญ,ม่วงเตี้ย,ยกเว้น,
อ่างทอง,1,วิเศษชัยชาญ,สาวร้องไห้,ยกเว้น,
อ่างทอง,2,โพธิ์ทอง,,,
อ่างทอง,2,ไชโย,,,
อ่างทอง,2,แสวงหา,,,
อ่างทอง,2,สามโก้,,,
อ่างทอง,2,วิเศษชัยชาญ,ม่วงเตี้ย,เฉพาะ,
อ่างทอง,2,วิเศษชัยชาญ,สาวร้องไห้,เฉพาะ,
อำนาจเจริญ,1,เมืองอำนาจเจริญ,,,
อำนาจเจริญ,1,หัวตะพาน,,,
อำนาจเจริญ,2,เสนางคนิคม,,,
อำนาจเจริญ,2,ชานุมาน,,,
อำนาจเจริญ,2,ปทุมราชวงศา,,,
อำนาจเจริญ,2,พนา,,,
อำนาจเจริญ,2,ลืออำนาจ,,,
อุทัยธานี,1,เมืองอุทัยธานี,,,
อุทัยธานี,1,หนองขาหย่าง,,,
อุทัยธานี,1,ทัพทัน,,,
อุทัยธานี,1,สว่างอารมณ์,,,
อุทัยธานี,1,หนองฉาง,เขาบางแกรก,ยกเว้น,
อุทัยธานี,1,หนองฉาง,ทุ่งโพ,ยกเว้น,
อุทัยธานี,1,หนองฉาง,เขากวางทอง,ยกเว้น,
อุทัยธานี,2,ลานสัก,,,
อุทัยธานี,2,ห้วยคต,,,
อุทัยธานี,2,บ้านไร่,,,
